,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
5660,60,25932,140810.76,1548,11663.16,144.75
9087,60,732,1705.56,57,21347.13,2.39
1984,240,2613,5487.3,979,11836.61,8.78
3641,30,677,8801.0,46,1458.88,10.89
6882,90,6823,49807.9,428,2376.0,61.61
8998,30,19836,395133.12,2164,12601.06,851.91
9693,120,56260,1137577.2,12427,20225.08,1407.18
3909,120,217,7812.0,74,294.86,9.66
2175,100,200,14398.0,1693,1220.73,23.04
1376,30,50000,600500.0,3842,15281.81,960.8
4195,30,28869,577380.0,3865,5678.36,593.55
2147,20,45,1215.0,13,798.58,1.94
5446,120,1836,111665.52,439,958.85,138.13
6206,25,4,45.0,2,702.42,0.06
5523,30,1800,43200.0,560,5180.34,84.67
946,120,1480,121656.0,370,2652.33,194.65
8220,120,2390,56762.5,533,5623.52,70.22
458,60,400,2800.0,81,2035.66,4.48
5388,30,65763,821379.87,8182,7814.59,1016.05
5543,100,3094,247520.0,1477,27686.29,408.41
8225,30,1800,7272.0,108,832.5,9.0
5981,30,240,312.0,30,1678.57,0.32
9126,60,2131,4602.96,117,2005.48,6.45
3747,20,121,3509.0,42,354.59,4.92
8861,30,108856,339630.72,6431,43219.06,399.75
4716,60,429,2938.65,62,1060.22,4.12
3049,60,20000,165000.0,1951,13083.7,355.74
1770,20,15,540.0,16,1764.93,1.06
10259,60,66023,246265.79,5780,15789.2,253.16
9738,60,11209,145268.64,1143,1876.35,179.7
4252,30,83238,650921.16,5663,5298.02,1403.39
1390,60,489,3770.19,28,1047.24,7.39
6749,240,2176,27200.0,821,1698.83,44.88
2023,240,274,4110.0,98,1763.84,8.06
3870,30,33144,105729.36,1874,9507.26,108.69
2157,60,16752,158306.4,1580,11572.0,253.29
4182,30,1600,38400.0,571,5161.55,82.79
93,60,80,760.0,43,260.0,1.49
3502,50,15,1363.65,8,855.41,1.69
6654,60,330,5425.2,86,3307.86,11.7
9743,60,373,746.0,14,1284.7,0.77
1505,30,66667,828004.14,5253,18856.33,1324.81
5027,30,163929,2047473.21,21675,20312.64,2532.72
5089,30,37732,420711.8,4962,63818.03,520.42
1534,100,1800,18.0,526,2185.82,0.03
5976,60,672,2466.24,50,3011.72,3.46
8897,30,168,971.04,15,11637.64,1.9
6547,20,7500,240000.0,2440,37115.71,396.0
5774,100,2100,151200.0,1016,18862.39,325.99
4454,1,4162,101969.0,2777,34137.03,126.14
9527,30,650,7150.0,61,1572.97,11.8
9752,30,132926,1482124.9,17791,33707.41,1523.62
1762,60,21542,84013.8,1583,6381.87,164.67
813,30,10080,115718.4,772,4408.29,185.15
5930,60,53051,379314.65,4611,21225.33,531.8
3178,30,50000,162000.0,5593,19759.68,200.39
842,20,650,20800.0,278,7936.81,40.77
6589,60,4730,35616.9,260,1898.84,69.81
7832,60,41076,339287.76,5170,8406.81,348.79
10287,30,55300,539728.0,6247,61201.46,554.84
10286,60,5000,18650.0,297,1326.0,19.17
1901,60,22240,164576.0,2262,7364.52,263.32
2029,90,1680,25636.8,3337,9936.96,50.25
8751,60,4068,25425.0,268,20225.07,26.14
6077,60,210,1438.5,32,852.02,1.78
1454,120,3000,123300.0,1422,4198.0,197.28
1354,30,50000,600500.0,3880,3817.12,960.8
1806,60,40126,285697.12,4414,4506.2,559.97
1344,60,90323,668390.2,9635,52979.7,1069.42
7826,60,8600,57878.0,770,9828.73,71.6
4817,60,9400,16920.0,1030,1593.67,19.91
7668,60,99995,825958.7,11636,25231.96,1157.99
3155,60,42813,96329.25,4369,22508.32,99.03
6836,30,100000,638000.0,8850,29780.5,894.48
2374,60,112191,1060204.95,10453,8831.92,1696.33
2785,90,3680,20240.0,6385,8768.76,25.04
7153,60,2800,7224.0,161,5491.01,11.92
8218,60,25991,58739.66,2504,12315.5,72.66
7483,30,110000,1100000.0,9221,8104.79,2156.0
6908,30,8609,41409.29,873,15000.0,51.22
9235,120,964,19318.56,6705,27664.61,23.9
2377,200,3000,4200.0,342,1850.7,6.72
5883,60,9072,77565.6,902,7421.81,167.23
1942,60,16610,220580.8,1832,11815.12,352.93
6929,30,10000,46400.0,8889,33073.6,47.7
7619,30,3330,66333.6,370,2886.12,109.45
6404,20,444,14208.0,132,1847.97,14.61
1115,30,1600,3200.0,96,2145.17,5.12
7488,180,230,3900.8,132,8329.13,8.41
1062,336,245,9398.2,1468,4602.4,15.04
2110,20,1883,60256.0,627,7670.04,96.41
5560,100,3125,250000.0,1581,40965.77,257.0
1791,60,685,6000.6,67,1122.87,11.76
1744,30,76,1995.0,7,747.5,3.19
792,25,10000,200000.0,3336,28837.28,320.0
9151,30,31512,191277.84,2635,3300.95,236.61
5996,20,2120,65720.0,610,8291.96,67.56
8128,60,9073,22773.23,2721,4777.08,37.58
1186,30,2345,16063.25,239,2393.34,31.48
1833,60,60840,693576.0,7663,33279.39,1495.35
1397,30,100000,1100000.0,7735,15922.67,2156.0
2274,60,1756,20018.4,198,9341.49,39.24
2013,30,20880,250768.8,1603,8539.26,401.23
9384,30,6000,70500.0,493,7879.03,152.0
6441,20,4588,146816.0,1573,26710.2,242.25
8655,90,2548,21046.48,370,15459.09,29.51
8144,60,7273,60074.98,650,4029.71,99.12
7761,60,5701,23659.15,335,2527.41,33.17
95,60,46,472.88,10,893.22,0.93
2915,100,3053,0.0,1265,21384.75,0.0
7883,60,18317,71253.13,581,6311.88,88.14
9202,60,20000,77800.0,117,5900.0,96.24
7023,60,21347,113779.51,1554,3583.0,116.97
5326,60,20000,223800.0,2039,9182.45,276.84
8296,30,89490,972756.3,11280,30936.1,1203.3
6845,60,7372,14006.8,5453,9405.81,19.64
1935,30,109,1853.0,422,2812.3,2.96
3350,30,100000,735000.0,9369,50030.37,1030.47
7880,120,12713,240275.7,2630,6926.9,247.0
1157,60,2066,7024.4,451,3487.94,11.24
1529,60,1887,17832.15,273,2446.58,28.53
2850,25,20,1900.0,9,779.06,2.35
2941,100,7412,575912.4,2097,15891.96,950.26
4298,30,13307,47239.85,1018,1681.58,58.44
1660,200,2950,4277.5,267,3094.0,6.84
4640,30,24192,254016.0,3385,8764.53,314.22
4283,30,100591,455677.23,8635,11203.79,982.44
737,1,3510,80730.0,2535,23035.69,158.23
