,Unit Price
10078,0.17
5369,0.91
7207,0.28
1341,0.05
6399,0.16
6789,0.16
6042,0.09
6099,0.04
6214,0.89
4876,0.67
520,3.0
980,1.6
5947,0.16
450,0.12
1742,0.16
543,0.72
7937,0.16
3460,0.01
7868,0.01
1336,0.88
6183,2.5
5409,0.09
8424,0.33
8554,0.66
1365,0.15
5472,1.6
1915,0.01
4821,0.07
10150,0.16
7077,0.05
1959,0.09
843,3.0
6942,0.14
9587,0.11
2169,3.0
2683,0.8
577,0.72
4036,0.08
7064,0.26
5659,0.04
6961,0.11
5191,0.8
7836,0.37
2337,0.14
5372,0.15
342,1.35
8564,0.14
5036,0.01
2961,0.12
588,1.39
888,0.8
3483,0.11
508,3.5
4080,0.8
8387,0.45
10281,0.11
1374,0.57
8844,0.11
7840,0.01
598,0.68
9238,0.19
2143,0.8
2706,0.8
